Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000011485 2969 3075 2683 2839 3067 2401
ENSG00000011523 626 668 482 301 357 308
ENSG00000011566 978 841 894 1926 1697 1202
ENSG00000011590 0 0 0 0 1 0
ENSG00000011600 2 2 0 0 0 1
ENSG00000011638 835 758 691 491 828 647
ENSG00000011677 0 0 0 0 0 0
ENSG00000012048 1078 949 1028 563 839 679
ENSG00000012061 2583 3013 2463 2739 2359 1909
ENSG00000012124 45 71 41 17 47 32
ENSG00000012171 1340 1682 1255 549 1256 1087
ENSG00000012174 1053 961 955 1409 1521 1164
ENSG00000012211 333 386 295 569 507 397
ENSG00000012223 5 6 5 0 9 5
ENSG00000012232 3612 3870 3381 2618 2841 2459
ENSG00000012504 0 0 0 0 0 0
ENSG00000012660 4233 4275 3615 4244 5339 3912
ENSG00000012779 0 0 0 0 0 0
ENSG00000012817 1404 1428 1161 937 1414 1105
ENSG00000012822 4590 5294 3965 2795 6068 4595
ENSG00000012963 1665 1785 1621 959 1533 1158
ENSG00000012983 2075 2022 1669 1653 2182 1464
ENSG00000013016 8133 9235 7469 8076 7964 6485
ENSG00000013275 2879 3185 2715 3558 3553 3001
ENSG00000013288 6621 7377 5935 6881 8520 7100
ENSG00000013293 440 339 325 27 211 141
ENSG00000013297 9163 9868 7824 3498 6006 5338
ENSG00000013306 2841 3468 2853 2158 2682 2201
ENSG00000013364 10727 13479 9649 10337 13601 12367
ENSG00000013374 2001 2155 1727 3123 5265 4072
ENSG00000013375 3490 3159 3052 4176 4332 3338
ENSG00000013392 369 364 338 337 372 301
ENSG00000013441 1435 1207 1273 1518 1666 1346
ENSG00000013503 743 667 646 623 862 694
ENSG00000013523 621 696 515 332 463 378
ENSG00000013561 1666 1350 1414 1614 1758 1437
ENSG00000013563 2895 3127 2776 2477 3359 3007
ENSG00000013573 529 601 464 380 489 421
ENSG00000013583 1412 1494 1221 1290 1476 1122
ENSG00000013588 842 884 767 1264 1236 976
ENSG00000013619 320 350 330 388 398 340
ENSG00000013725 0 0 0 0 0 0
ENSG00000013810 1925 2651 1991 869 1080 907
ENSG00000014123 1381 1268 1176 1307 1612 1197
ENSG00000014138 1064 1101 954 1129 1369 1229
ENSG00000014164 830 1108 798 885 1026 1050
ENSG00000014216 7038 8732 6741 6024 8411 7376
